"country","year","gdp","gini","population"
Albania,2006,9767379279.88863,,2992547.0
Albania,2007,10351466806.2388,,2970017.0
Albania,2008,11127823665.7504,30.0,2947314.0
Albania,2009,11500613161.6647,,2927519.0
Albania,2010,11926928505.5231,,2913021.0
Albania,2011,12230507222.1843,,2905195.0
Albania,2012,12403877841.0321,29.0,2900401.0
Albania,2013,12528163103.1195,,2895092.0
Albania,2014,12750473701.7819,34.6,2889104.0
Albania,2015,13033375121.5884,32.9,2880703.0
Albania,2016,13465406059.6498,33.7,2876101.0
Albania,2017,13977387390.5945,33.2,2873457.0
Albania,2018,14546448944.4056,,2866376.0
Andorra,2006,3875142516.24022,,80995.0
Andorra,2007,3935330770.25056,,82682.0
Andorra,2008,3716558398.51518,,83860.0
Andorra,2009,3519475009.94299,,84461.0
Andorra,2010,3449966856.68832,,84454.0
Andorra,2011,3449688452.87021,,83748.0
Andorra,2012,3278085642.31738,,82427.0
Andorra,2013,3161792390.29564,,80770.0
Andorra,2014,3240978390.56079,,79213.0
Andorra,2015,3287458570.8604,,77993.0
Andorra,2016,3409412700.51704,,77295.0
Andorra,2017,3421211719.47501,,76997.0
Andorra,2018,3475566750.62972,,77008.0
Austria,2006,380329113681.259,29.6,8268641.0
Austria,2007,394505559258.526,30.6,8295487.0
Austria,2008,400267011848.042,30.4,8321496.0
Austria,2009,385198647266.611,31.5,8343323.0
Austria,2010,392275107258.667,30.3,8363404.0
Austria,2011,403740513438.199,30.8,8391643.0
Austria,2012,406487747903.707,30.5,8429991.0
Austria,2013,406591421433.927,30.8,8479823.0
Austria,2014,409280100109.633,30.5,8546356.0
Austria,2015,413432253216.039,30.5,8642699.0
Austria,2016,421657228102.472,30.8,8736668.0
Austria,2017,431775262676.529,29.7,8797566.0
Austria,2018,442915585749.024,30.8,8840521.0
Belarus,2006,44266566187.7427,28.3,9604924.0
Belarus,2007,48073493773.2612,29.6,9560953.0
Belarus,2008,52976989868.7029,27.8,9527985.0
Belarus,2009,53082941363.8271,27.7,9506765.0
Belarus,2010,57222490768.7143,28.6,9490583.0
Belarus,2011,60300321142.6581,27.2,9473172.0
Belarus,2012,61317669289.2363,26.5,9464495.0
Belarus,2013,61932974220.8466,26.6,9465997.0
Belarus,2014,63002175707.5323,27.2,9474511.0
Belarus,2015,60589462935.5585,25.6,9489616.0
Belarus,2016,59058702608.9201,25.3,9501534.0
Belarus,2017,60554177331.8333,25.4,9498264.0
Belarus,2018,62461148027.2823,25.2,9483499.0
Belgium,2006,458677622724.361,28.1,10547958
Belgium,2007,475542653709.135,29.2,10625700
Belgium,2008,477667990477.055,28.4,10709973
Belgium,2009,468015547701.557,28.6,10796493
Belgium,2010,481420882905.001,28.4,10895586
Belgium,2011,489578626676.653,28.1,11038264
Belgium,2012,493197676499.208,27.5,11106932
Belgium,2013,495462648324.133,27.7,11159407
Belgium,2014,503283690440.236,28.1,11209057
Belgium,2015,513558020680.56,27.7,11274196
Belgium,2016,520063190330.958,27.6,11331422
Belgium,2017,528496260419.776,27.4,11375158
Belgium,2018,537945351170.51,27.2,11427054
Bosnia and Herzegovina,2006,15729153560.7731,,3765422.0
Bosnia and Herzegovina,2007,16650743291.5849,33.1,3762791.0
Bosnia and Herzegovina,2008,17556851230.7796,,3754261.0
Bosnia and Herzegovina,2009,17029363372.8317,,3735945.0
Bosnia and Herzegovina,2010,17176781336.7644,,3705478.0
Bosnia and Herzegovina,2011,17341594485.6047,33.0,3661173.0
Bosnia and Herzegovina,2012,17199074936.9112,,3604972.0
Bosnia and Herzegovina,2013,17603228545.3329,,3542598.0
Bosnia and Herzegovina,2014,17806343590.1312,,3482106.0
Bosnia and Herzegovina,2015,18356410773.0628,,3429362.0
Bosnia and Herzegovina,2016,18934602269.0509,,3386263.0
Bosnia and Herzegovina,2017,19535100848.8297,,3351534.0
Bosnia and Herzegovina,2018,20265727508.4724,,3323929.0
Bulgaria,2006,45869280338.7161,35.7,7601022.0
Bulgaria,2007,48876966228.4417,36.1,7545338.0
Bulgaria,2008,51851436378.6577,33.6,7492561.0
Bulgaria,2009,50101534229.7147,33.8,7444443.0
Bulgaria,2010,50381825504.2642,35.7,7395599.0
Bulgaria,2011,51568094264.4734,34.3,7348328.0
Bulgaria,2012,51751979375.9177,36.0,7305888.0
Bulgaria,2013,51920571507.3287,36.6,7265115.0
Bulgaria,2014,52899515523.1699,37.4,7223938.0
Bulgaria,2015,55010127749.7693,38.6,7177991.0
Bulgaria,2016,57111753665.4351,40.6,7127822.0
Bulgaria,2017,59112236490.8388,40.4,7075947.0
Bulgaria,2018,60940251461.1954,41.3,7025037.0
Croatia,2006,61197075793.9092,,4311159.0
Croatia,2007,64298314188.4647,,4310217.0
Croatia,2008,65515772483.174,,4309705.0
Croatia,2009,60717700435.3099,32.6,4305181.0
Croatia,2010,59918313669.1671,32.4,4295427.0
